DMUs,V1,V2,V3,V4
AT,0.956068975814,0.944514710717,0.050971915649,0.152138662924
BE,0.798745894297,0.911827098979,0.038442466338,0.000004075043
BG,0.126903553299,0.973982400400,0.034696389563,0.618886440467
CY,0.388175574798,0.970808122577,0.020892201877,0.008993049609
CZ,0.539491473425,0.237257186880,0.641809136678,0.090497814337
DE,0.574798447298,0.990674003727,0.003906659771,0.274042984712
DK,0.417086002538,0.462738592868,0.520874800879,0.055836366529
ES,0.711421060914,0.236125685428,0.672211639997,0.909087582932
FR,0.257539564049,0.636501661839,0.309893691841,0.382772978265
GR,0.301084901015,0.788873502282,0.150346705836,0.081830614781
HU,0.649447596297,0.954979365323,0.048645314285,0.078329134341
IE,0.557166318304,0.091343857637,0.695953068044,0.246784980273
IT,0.126903553299,0.820370692388,0.204788549219,0.194787972187
LT,0.798745894297,0.997702766802,0.000367410575,0.219247769684
LU,0.126903553299,0.914317681883,0.054349524176,0.000881348482
LV,0.201552702299,0.995122835403,0.010556970409,0.011369686811
MT,0.132433119887,0.103821028331,0.908790300425,0.048548831834
PL,0.222697073753,0.954150028299,0.028929540658,0.627069860155
PT,0.145565840549,0.603982639163,0.175005856005,0.002864273024
RO,0.668109883547,0.915758967135,0.070975331025,0.088989555589
SE,0.202000597193,0.999468618433,0.001987358973,0.034794029103
SK,0.489035906241,0.830233480777,0.191409935703,0.157517576881
UK,0.514041038370,0.630316509994,0.302944921590,0.280861801861
