DMUS,X1,X2,X3,X4,Y1,Y2
1,16.8944454,14.238446,0.9662597,0.7080673,0.6479536,0.7367941
2,14.3854738,13.1387095,0.8097564,0.5810808,0.3336266,-0.3177245
3,221.3922151,51.5432496,3.0716975,0.5559808,0.6406007,-0.7411377
4,21.0078423,15.8774717,1.0769851,0.6811987,0.2133453,-1.0931014
5,33.520181,20.055976,1.0198602,0.7705586,0.8785126,1.0632259
6,7.7199586,9.6249417,0.6777103,0.7574118,0.7717845,0.7917762
7,22.3823804,16.3886718,0.9275165,0.9419034,0.8672597,0.4903503
8,17.2379551,14.3824706,0.9379744,0.930826,1,-0.0591451
9,23.7011353,16.8645671,0.9113912,0.4510324,0.6631717,1.383559
10,40.7335361,22.1088768,1.1656892,0.8380237,0.7364153,0.1180028
11,38.5244963,21.5010222,0.8943635,0.5174726,0.7390399,1.0463051
12,11.1862527,11.5859843,0.8958574,0.8977427,0.5125843,-0.0298668
13,85.5398754,32.0387032,1.2893929,0.5486789,1.0386272,2.8863738
14,26.3276643,17.7744753,0.9980087,0.9166369,0.6843418,-0.3279265
15,31.4546239,19.4282137,0.8859549,0.6608495,0.9492049,1.6322393
16,10.3242923,11.1306562,0.866932,0.9024231,0.4779356,-0.1430085
17,25.6239394,17.535315,0.9710419,0.9282,0.7480417,-0.0320753
18,35.1366394,20.5338665,1.2072777,0.7950561,0.7872997,0.2699904
19,34.5049192,20.3484405,0.9411489,0.6420276,0.7455834,0.6640435
20,11.0673584,11.5242484,0.9055627,0.9157877,0.4493638,-0.2549232
21,13.1775305,12.5749897,0.6733872,0.4530561,0.920216,1.9106504
22,24.9721355,17.3108528,0.9710408,0.915217,0.6984181,-0.247992
23,38.4213857,21.4722292,1.0632155,0.7312816,0.8125584,0.8505152
24,88.7699856,32.638012,1.325131,0.6824005,0.8092261,1.0495853
25,22.2935091,16.3561031,0.7140311,0.7494206,1.0919069,2.285274
26,31.5103676,19.4454213,0.9818202,0.9495576,0.6306994,-0.1234946
27,50.4057414,24.5940826,0.7372254,0.2779124,0.4133919,-0.5885947
28,13.858849,12.8959756,0.748381,0.524973,0.5960051,0.7073328
29,32.649344,19.7937396,0.9877152,0.9546276,0.803405,0.8122698
30,37.9038441,21.3271219,1.1207893,0.8129894,0.7287566,0.1338621
31,26.3182722,17.7713046,0.6304603,0.1977816,0.4028882,0.7784487
32,49.4540561,24.360802,1.4891384,0.8196404,0.4710173,-1.7560545
33,33.9951124,20.197558,1.1305986,0.6378302,0.5008245,-2.0127004
34,23.6922168,16.8613938,0.6708612,0.5112612,1.0185082,2.0618268
35,28.8336113,18.6011649,0.7612392,0.5418331,0.9673191,1.9370403
36,25.6459678,17.5428508,0.9900642,0.9441338,0.8141563,0.2590136
37,22.6680422,16.4929229,0.930805,0.9287028,0.7801428,0.1169528
38,23.5248546,16.8017337,0.6715299,0.5154259,1.0110883,2.0120473
39,12.1943452,12.0967823,0.9410068,0.9041098,0.5468004,0.0800516
40,48.7189597,24.1790719,0.5338233,0.8740216,0.8650576,1.0138742
41,16.3420829,14.0037493,0.7513237,0.4312631,0.6514193,1.1522694
42,25.5151589,17.4980544,0.9401114,0.8696051,0.8479668,0.5678395
43,12.2480276,12.1233795,0.9376591,0.9097735,0.6343128,0.372861
44,14.3646037,13.1291753,0.9183006,0.7510924,0.4885308,0.0418386
45,26.5489526,17.8490177,0.904248,0.9496681,0.7330937,0.4007327
46,10.3098415,11.1228637,0.7654396,0.694697,0.3271099,-0.4205699
47,11.3509297,11.6709535,0.8642285,0.8349189,0.6445727,0.4649831
48,12.833239,12.409628,0.9803073,0.923343,0.3702308,-0.5630444
49,12.0898477,12.0448401,0.9729209,0.989159,0.6044848,0.1933886
50,12.6983111,12.3442186,0.8091451,0.6702799,0.7807245,1.1331453
51,12.0756159,12.0377486,0.936138,0.9117494,0.5248918,-0.0028517
52,62.9348824,27.4812407,1.4213491,0.717186,0.6114587,-0.4360754
53,27.1516387,18.0504754,0.8615844,0.8728813,0.7644507,0.6896306
54,24.2482281,17.0580989,0.8913713,0.913217,0.6994946,0.155764
55,75.239898,30.0479413,1.1444943,0.5561746,0.6861795,1.1548246
56,18.9255193,15.0700442,0.8231108,0.8961348,1.077075,1.3986476
57,30.9804372,19.2812149,0.8860323,0.6699326,0.9552855,1.6302008
58,20.8206801,15.806586,0.8944899,0.9203816,0.6513016,-0.4478337
59,28.0559889,18.3486203,1.0229788,0.9163029,0.7968507,0.2409024
60,33.9255859,20.1768935,1.1240974,0.630112,0.4904511,-2.0430423
61,29.0378806,18.6669378,1.0682009,0.7772911,0.8506275,0.5999727
62,11.1810282,11.5832784,0.9204268,0.9302032,0.492955,-0.1262364
63,23.3326819,16.7329669,0.9466101,0.9414616,0.8569372,0.4531188
64,26.0876171,17.6932587,0.6559648,0.2098249,0.3622305,0.5474916
65,33.0235141,19.9068373,0.8308044,0.5516673,0.449817,-1.3922694
66,27.4275523,18.1419576,0.8578126,0.7062791,0.9318,1.3382342
67,45.5562083,23.3810714,1.2196071,0.6211861,0.6755201,0.1424727
68,15.0626597,13.444401,1.0140794,0.8501086,0.4166116,-0.3479138
69,20.9016113,15.8372768,0.8097101,0.4018013,0.4371661,0.391325
70,34.731002,20.4149951,1.0504665,0.7919088,0.8402584,0.8102558
71,18.9500866,15.0798223,0.9472814,0.9248753,0.7097634,0.2652536
72,11.5815531,11.7889201,0.872032,0.8335873,0.6506286,0.4909869
73,27.0343609,18.01145,0.9760802,0.8741255,0.845363,0.5655175
74,14.4057308,13.1479569,1.0028508,0.8680221,0.3645806,-0.555002
75,29.3755812,18.7751691,0.969928,0.7783164,0.7757237,0.4461782
76,42.2078272,22.5054199,1.132562,0.9710844,0.6870242,0.1639365
77,19.6850951,15.3694873,0.8513964,0.7884251,0.9605034,1.1728817
78,22.1468344,16.3022088,0.6909045,0.3872002,1.1393615,2.1271157
79,24.7125322,17.2206384,0.9509405,0.7915786,0.9127013,1.0731625
80,51.2320411,24.7948481,1.3406314,0.7152785,0.9087212,1.3599563
81,19.7857926,15.4087479,0.8438005,0.7708829,0.9604656,1.2082819
